#EXTM3U x-tvg-url="https://diyp0731.112114.xyz/pp.xml.gz"
#江西移动内网源，仅限江西移动网络使用。
#EXT-X-SUB-URL https://live.404003.xyz/m3u/jxyd.m3u


4K,#genre#
CCTV13,http://39.135.140.104:6610/PLTV/88888888/224/3221226329/1/index.m3u8?fmt=ts2hls$IPTV
CCTV14,http://39.135.140.104:6610/PLTV/88888888/224/3221225494/1/index.m3u8?fmt=ts2hls$IPTV
CCTV15,http://39.135.140.104:6610/PLTV/88888888/224/3221226332/1/index.m3u8?fmt=ts2hls$IPTV
CCTV16,http://39.135.140.104:6610/PLTV/88888888/224/3221226230/1/index.m3u8
CCTV17,http://39.135.140.104:6610/PLTV/88888888/224/3221226335/1/index.m3u8?fmt=ts2hls
CCTV4美洲,http://39.135.140.104:6610/PLTV/88888888/224/3221226366/1/index.m3u8?fmt=ts2hls$IPTV
CCTV4欧洲,http://39.135.140.104:6610/PLTV/88888888/224/3221226361/1/index.m3u8?fmt=ts2hls$IPTV
兵器科技,http://39.135.140.104:6610/PLTV/88888888/224/3221226321/1/index.m3u8?fmt=ts2hls
第一剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221226284/1/index.m3u8?fmt=ts2hls
电视指南,http://39.135.140.104:6610/PLTV/88888888/224/3221226359/1/index.m3u8?fmt=ts2hls
风云剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221226315/1/index.m3u8?fmt=ts2hls
风云音乐,http://39.135.140.104:6610/PLTV/88888888/224/3221226287/1/index.m3u8?fmt=ts2hls
风云足球,http://39.135.140.104:6610/PLTV/88888888/224/3221226302/1/index.m3u8?fmt=ts2hls
高尔夫网球,http://39.135.140.104:6610/PLTV/88888888/224/3221226299/1/index.m3u8?fmt=ts2hls
怀旧剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221226318/1/index.m3u8?fmt=ts2hls
女性时尚,http://39.135.140.104:6610/PLTV/88888888/224/3221226293/1/index.m3u8?fmt=ts2hls
世界地理,http://39.135.140.104:6610/PLTV/88888888/224/3221226290/1/index.m3u8?fmt=ts2hls
央视台球,http://39.135.140.104:6610/PLTV/88888888/224/3221226339/1/index.m3u8?fmt=ts2hls
央视文化精品,http://39.135.140.104:6610/PLTV/88888888/224/3221226296/1/index.m3u8?fmt=ts2hls

凤凰,#genre#

凤凰中文,http://39.135.140.104:6610/PLTV/88888888/224/3221226248/1/index.m3u8?fmt=ts2hls
凤凰资讯,http://39.135.140.104:6610/PLTV/88888888/224/3221226274/1/index.m3u8?fmt=ts2hls
凤凰香港,http://39.135.140.104:6610/PLTV/88888888/224/3221226251/1/index.m3u8?fmt=ts2hls
凤凰中文,http://39.135.140.104:6610/PLTV/88888888/224/3221226248/index.m3u8
凤凰资讯,http://39.135.140.104:6610/PLTV/88888888/224/3221226274/index.m3u8
凤凰香港,http://39.135.140.104:6610/PLTV/88888888/224/3221226251/index.m3u8
凤凰中文,http://39.135.140.104:6610/PLTV/88888888/224/3221226248/1/index.m3u8
凤凰资讯,http://39.135.140.104:6610/PLTV/88888888/224/3221226274/1/index.m3u8
凤凰香港,http://39.135.140.104:6610/PLTV/88888888/224/3221226251/1/index.m3u8

卫视,#genre#
湖南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225490/1/index.m3u8?fmt=ts2hls
浙江卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225491/1/index.m3u8?fmt=ts2hls
江苏卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225488/1/index.m3u8?fmt=ts2hls
东方卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225489/1/index.m3u8?fmt=ts2hls
北京卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225600/1/index.m3u8?fmt=ts2hls
天津卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225485/1/index.m3u8?fmt=ts2hls
重庆卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225612/1/index.m3u8?fmt=ts2hls
深圳卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225598/1/index.m3u8?fmt=ts2hls
广东卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225597/1/index.m3u8?fmt=ts2hls
河北卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225610/1/index.m3u8?fmt=ts2hls
河南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225611/1/index.m3u8?fmt=ts2hls
四川卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225487/1/index.m3u8?fmt=ts2hls
安徽卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226352/1/index.m3u8?fmt=ts2hls
云南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226351/1/index.m3u8?fmt=ts2hls
东南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225585/1/index.m3u8?fmt=ts2hls
海南卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226212/1/index.m3u8?fmt=ts2hls
甘肃卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226358/1/index.m3u8?fmt=ts2hls
新疆卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226418/1/index.m3u8?fmt=ts2hls
兵团卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226395/1/index.m3u8?fmt=ts2hls
西藏卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226392/1/index.m3u8?fmt=ts2hls
山东卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225484/1/index.m3u8?fmt=ts2hls
贵州卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225483/1/index.m3u8?fmt=ts2hls
湖北卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225596/1/index.m3u8?fmt=ts2hls
广西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226211/1/index.m3u8?fmt=ts2hls
江西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225492/1/index.m3u8?fmt=ts2hls
黑龙江卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225586/1/index.m3u8?fmt=ts2hls
吉林卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226355/1/index.m3u8?fmt=ts2hls
辽宁卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225601/1/index.m3u8?fmt=ts2hls
宁夏卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226426/1/index.m3u8?fmt=ts2hls
青海卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225546/1/index.m3u8?fmt=ts2hls
山西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225549/1/index.m3u8?fmt=ts2hls
陕西卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225531/1/index.m3u8?fmt=ts2hls
内蒙古卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225533/1/index.m3u8?fmt=ts2hls
厦门卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226375/1/index.m3u8?fmt=ts2hls
三沙卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226356/1/index.m3u8?fmt=ts2hls
山东教育卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226353/1/index.m3u8?fmt=ts2hls
农林卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226204/1/index.m3u8
康巴卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226263/1/index.m3u8

江西,#genre#

江西都市,http://39.135.140.104:6610/PLTV/88888888/224/3221225584/1/index.m3u8?fmt=ts2hls
江西经济生活,http://39.135.140.104:6610/PLTV/88888888/224/3221226206/1/index.m3u8?fmt=ts2hls
江西公共农业,http://39.135.140.104:6610/PLTV/88888888/224/3221225578/1/index.m3u8?fmt=ts2hls
江西少儿,http://39.135.140.104:6610/PLTV/88888888/224/3221226194/1/index.m3u8?fmt=ts2hls
江西新闻,http://39.135.140.104:6610/PLTV/88888888/224/3221225615/1/index.m3u8?fmt=ts2hls
江西教育,http://39.135.140.104:6610/PLTV/88888888/224/3221226197/1/index.m3u8?fmt=ts2hls
南昌新闻综合,http://39.135.140.104:6610/PLTV/88888888/224/3221226382/1/index.m3u8?fmt=ts2hls
南昌都市,http://39.135.140.104:6610/PLTV/88888888/224/3221226385/1/index.m3u8?fmt=ts2hls
南昌资讯,http://39.135.140.104:6610/PLTV/88888888/224/3221226374/1/index.m3u8?fmt=ts2hls
九江新闻综合频道,http://39.135.140.104:6610/PLTV/88888888/224/3221226417/1/index.m3u8?fmt=ts2hls
九江公共频道,http://39.135.140.104:6610/PLTV/88888888/224/3221226420/1/index.m3u8?fmt=ts2hls
九江教育频道,http://39.135.140.104:6610/PLTV/88888888/224/3221226423/1/index.m3u8?fmt=ts2hls
赣州新闻综合,http://39.135.140.104:6610/PLTV/88888888/224/3221226408/1/index.m3u8?fmt=ts2hls
赣州教育,http://39.135.140.104:6610/PLTV/88888888/224/3221226411/1/index.m3u8?fmt=ts2hls
赣州公共,http://39.135.140.104:6610/PLTV/88888888/224/3221226412/1/index.m3u8?fmt=ts2hls
china陶瓷,http://39.135.140.104:6610/PLTV/88888888/224/3221226304/1/index.m3u8?fmt=ts2hls

影视,#genre#

CHC动作电影,http://39.135.140.104:6610/PLTV/88888888/224/3221226308/1/index.m3u8?fmt=ts2hls
CHC家庭影院,http://39.135.140.104:6610/PLTV/88888888/224/3221226319/1/index.m3u8?fmt=ts2hls
